new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa,ptr
[x],reportgenerator.abb.com,20.52.134.77,,"reportgenerator-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],reporting.digital.motion.abb.com.cn,"124.70.125.126, 124.70.125.174, 124.70.126.127, 124.70.126.126",,90f45709ae7541b49ee04c7a59bc6eaa.vip1.huaweicloudwaf.com,"vip3.alidns.com, hostmaster.hichina.com, ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",NOERROR,,,,,,,,,
[x],reportphishing.abb.com,40.112.89.217,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],reports.abb.com,"195.62.26.62, 157.90.182.79, 157.90.89.125",,abb.online-report.eu,"ns1.geber.at, postmaster.nexxar.com",NOERROR,,,,,,,,,
[x],reports.us.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],resource.evcharging.abb.com.cn,121.37.157.18,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],resources.library.abb.com,13.69.228.13,,"proxy-resources-library-abblibrary.azurewebsites.net, waws-prod-db3-017a.sip.azurewebsites.windows.net, waws-prod-db3-017a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],resources.library.test.abb.com,,,"proxy-resources-library-abblibrary-test.azurewebsites.net, waws-prod-db3-017a.sip.azurewebsites.windows.net, waws-prod-db3-017a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],resources.news.e.abb.com,"18.65.39.95, 18.65.39.65, 18.65.39.43, 18.65.39.19",,dupn1x3itydp.cloudfront.net,"ns-310.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1467.awsdns-55.org, ns-1975.awsdns-54.co.uk, ns-310.awsdns-38.com, ns-783.awsdns-33.net",,,,
[x],retail.tnb.com,,,tnbs119.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],rfat.abb.com,54.77.118.132,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],rmsmidware.abb.com,,,de-s-0231475-2.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],robotic-solutions.robotics.abb.com,40.69.39.60,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],robotics-service.de.abb.com,40.118.96.231,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,de-abb-digital-sa-prod.azurewebsites.net,,,,,,
[x],rproxy.cylon.com,89.101.141.55,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],rseprod.abb.com,138.227.175.43,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],rsestage.abb.com,138.227.175.44,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ruledevelopment.drives-document-generator.abb.com,"2.19.195.210, 104.110.240.57",,"ruledevelopment.drives-document-generator.waf.abb, ruledevelopment.drives-document-generator.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],rulestaging.drives-document-generator.abb.com,"23.36.162.214, 23.36.162.221",,"rulestaging.drives-document-generator.waf.abb, rulestaging.drives-document-generator.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],rumow-cvp0.ru.abb.com,195.151.134.9,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sametime.abb.com,129.35.204.90,,de-s-0198185.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sandbox.aturb-portal.abb.com,20.52.134.77,,"sandbox-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],sandy.xe.abb.com,138.225.1.39,,,"xe-s-dnsis01z.xe.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sap.password.abb.com,"52.49.8.106, 18.200.110.5, 63.35.63.17",,"www115.abb.com, xc-alb-9aag8556-prod-ext01-1017646772.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],sbc1.de.abb.com,87.129.13.20,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sbc1.pl.abb.com,93.159.9.11,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sbc1.sbc1.lod.pl.abb.com,93.159.9.11,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sbc2.de.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sbc2.pl.abb.com,137.133.22.30,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],scm.apim.digitalchannel.enterprisesoftware.abb,10.50.28.5,,,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,True,10.50.28.5,,
[x],search-ext.abb.com,"23.222.79.226, 23.222.79.209",,"search-ext.waf.abb, search-ext.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],search-ext.stage.abb.com,,,"search-ext.stage.waf.abb, search-ext.stage.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],search.abb.com,"2.19.195.235, 2.19.195.192",,"search.waf.abb, search.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],secure.tnb.com,206.208.208.160,,tnbs160.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],selector.drives.abb.com,255.255.255.255,,selector-drivesmotors-abb.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,True,255.255.255.255,,
[x],selector.drivesmotors.abb.com,,,"selector.drivesmotors.waf.abb, selector.drivesmotors.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],service.it.abb.com,"2.17.100.185, 2.17.100.248",,"service.it.waf.abb, service.it.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],servicemanager.abb.com,20.52.134.77,,"servicemanager-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],services.accept.evcharging.abb.com,52.157.234.207,,"eveconacc-services-tm.trafficmanager.net, accept-eve-we-sfc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],services.evcharging.abb.com,104.45.67.121,,"prod-eve-services-tm.trafficmanager.net, prod-eve-we-sfc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],session.tnb.com,206.208.208.157,,tnbs157.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],sevst-cvp0.se.abb.com,138.221.250.195,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sgportal.abb.com,210.24.147.102,,sg-s-uagsvcs.sg.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sgportal1.abb.com,,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],share.library.stage.abb.com,13.69.228.13,,"shareapi-abblibrary-stage.azurewebsites.net, waws-prod-db3-017a.sip.azurewebsites.windows.net, waws-prod-db3-017a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],share.library.test.abb.com,13.69.228.13,,"shareapi-abblibrary-test.azurewebsites.net, waws-prod-db3-017a.sip.azurewebsites.windows.net, waws-prod-db3-017a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],shop.in.abb.com,151.101.1.124,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,fastly,"_globalsign-domain-verification=91buzdyZKXX0M-XJUqqLtOn4D5qwNzCX4I4BsMah4y, _globalsign-domain-verification=-2f4OJV09KbNKpJsjGqOEAHNSJJavfxLaUaJEC5gym",,,,,,
[x],shorturl.abb.com,"13.32.121.60, 13.32.121.20, 13.32.121.69, 13.32.121.82",,prod.d2p00n6a8n1vec.amplifyapp.com,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],si.abb.com,"52.30.171.72, 202.50.181.46, 138.225.1.190, 192.125.0.60",,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,"autodesk-domain-verification=XHX6yqJWp1YGm9MaAc3J, v=spf1 include:spf.abb.com ip4:193.83.101.232 -all, Dynatrace-site-verification=049be97f-a80d-4088-a780-9d3d69aa9bee__9kdnkq73gsjlbdvu3nsjbregbg",si-abb-com.mail.protection.outlook.com,"nse3.abb.com, nse1.abb.com, nse2.abb.com",,,,
[x],signatureservice.tnb.com,"206.208.208.157, 199.120.203.110, 199.120.203.111",,tnbs157.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,"dns1.tnb.com, dns2.tnb.com",,,,
[x],singledriveconfigurator.drives.abb.com,52.169.8.93,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],singledriveconfigurator.fi.abb.com,"2.19.195.224, 2.19.195.201",,"singledriveconfigurator.fi.waf.abb, singledriveconfigurator.fi.abb.com.edgekey.net, e119625.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],sip.aa.abb.com,52.112.196.46,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.baldor.com,70.182.107.66,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sip.ch.abb.com,52.112.192.139,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.cn.abb.com,52.112.192.11,,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,,,
[x],sip.cylon.com,52.112.192.11,2603:1027:0:3::b,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.de.abb.com,52.112.192.11,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.fi.abb.com,52.112.196.46,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.in.abb.com,52.112.64.140,2603:1037:0:c::f,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.it.abb.com,,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.ru.abb.com,52.112.192.11,,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,,,
[x],sip.sbc1.lod.pl.abb.com,,,sbc1.sbc1.lod.pl.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sip.sbc1.pl.abb.com,77.252.183.43,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sip.sbc2.pia.pl.abb.com,,,sbc2.sbc2.pia.pl.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sip.sbc2.pl.abb.com,137.133.22.30,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sip.tnb.com,52.112.192.139,2603:1027:0:3::b,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sip.us.abb.com,52.112.192.139,2603:1027:0:2::b,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,,
[x],sipfed.vb.no.abb.com,"213.251.32.89, 213.251.32.90",,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sipinternal.baldor.com,70.182.107.68,,access.baldor.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sites-admin.abb.com,13.94.143.57,,"sites-admin.azurewebsites.net, waws-prod-am2-119.vip.azurewebsites.windows.net, waws-prod-am2-119.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],sites-apps.abb.com,20.52.134.77,,"sites-apps-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],sites-apps2.stage.abb.com,20.52.134.77,,"sites-apps2-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],sites-apps2.test.abb.com,20.52.134.77,,"sites-apps2-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],sites-custom.abb.com,"2.17.100.248, 2.17.100.185",,"sites-custom.waf.abb, sites-custom.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],sites-custom.stage.abb.com,"96.16.54.120, 96.16.54.122",,"sites-custom.stage.waf.abb, sites-custom.stage.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],sites-custom.test.abb.com,20.52.134.77,,"sites-custom-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],sites-documentation.us.abb.com,,,wisp-70-182-107-21.baldor.com,,NOERROR,,,,,,,,,
[x],sites-external.stage.abb.com,138.224.8.8,,de-s-0188993.de.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sites.abb.com,13.94.143.57,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,abbcollaborationurlredirect.azurewebsites.net,sites-abb-com.mail.protection.outlook.com,,,,,
[x],sites.stage.abb.com,138.224.12.58,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,abb-com.mail.protection.outlook.com,,,,,
[x],sites.test.abb.com,13.94.143.57,,"abbcollaborationurlredirect.azurewebsites.net, waws-prod-am2-119.vip.azurewebsites.windows.net, waws-prod-am2-119.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,,
[x],sitesext-nam.abb.com,20.52.134.77,,"sitesext-nam-abb.msappproxy.net, 372ee9e0-9ce0-4033-a64a-c07073a91ecd.tenant.runtime.msappproxy.net, cwap-eur1-runtime.routing.msappproxy.net, eur.proxy-3.appproxy.msidentity.com, www.tm.eur.proxy-3.appproxy.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],smart-ip-configurator.mybuildings.abb.com,"2.17.100.251, 2.17.100.210",,"smart-ip-configurator.mybuildings.waf.abb, smart-ip-configurator.mybuildings.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],smartconnection.abb.com.cn,"2.17.100.243, 2.17.100.129",,"smartconnection.cn.waf.abb, smartconnection.abb.com.cn.edgekey.net, smartconnection.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],smarterpro.abb.com,20.160.1.45,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],smartqube.digital.motion.abb.com.cn,"124.70.126.104, 124.70.126.130, 124.70.125.145, 124.70.125.159",,689bb3ef728d4839a3b83e770bc5160a.vip1.huaweicloudwaf.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com, vip3.alidns.com, hostmaster.hichina.com",NOERROR,,,,,,,,,
[x],smartsocieties.abb.com,"2.17.100.169, 2.17.100.209",,"smartsocieties.waf.abb, smartsocieties.abb.com.edgekey.net, e95266.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],smartsupplychain.abb.com.cn,"80.239.254.40, 95.101.133.24",,"smartsupplychain.cn.waf.abb, smartsupplychain.abb.com.cn.edgekey.net, smartsupplychain.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],smtp.aa.abb.com,213.26.24.37,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],smtp01.de.abb.com,138.222.187.21,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],social.abb,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,
[x],softwarelibrary.fi.abb.com,194.241.161.197,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],solutions.abb,52.72.49.79,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,,
[x],solutionsbank.abb.com,13.68.77.160,,xc-s-zw08214.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],sotmobility.abb.com,138.224.8.75,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sotmobility.test.abb.com,40.69.40.91,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],speed.abb.com,195.212.124.99,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],speedtest.tnb.com,206.208.208.157,,tnbs157.tnb.com,"dns1.tnb.com, dns.admin.tnb.com",NOERROR,,,,,,,,,
[x],spf.abb.com,"202.50.183.15, 202.50.183.16, 203.19.232.230, 209.59.8.167, 3.120.0.88, 3.122.140.44, 3.127.201.215, 18.185.182.39, 18.185.233.191, 18.197.126.13, 18.197.211.142, 35.158.13.180, 52.58.42.249, 52.59.45.232, 64.26.208.32, 64.26.208.33, 64.26.216.22, 70.182.107.59, 70.182.107.60, 72.251.231.80, 72.251.231.81, 72.251.231.86, 81.31.49.194, 81.31.49.195, 81.31.49.196, 84.203.113.50, 89.101.141.61, 92.51.191.52, 137.135.188.174, 138.225.1.73, 138.225.1.74, 138.225.1.76, 138.225.1.77, 159.183.124.188, 192.125.0.34, 192.125.0.35, 192.125.0.36, 202.50.181.8, 202.50.181.9, 202.50.181.10",,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,v=spf1 include:spf.protection.outlook.com a:spf.abb.com include:mktomail.com -all,,"nse1.abb.com, nse2.abb.com, nse3.abb.com",,,,
[x],spine.abb.com,,,"spine.waf.abb, prod.spine.abb.com","nse1.abb.com, dnsmaster.abb.com",NOERROR,True,azure,,,,,,,
[x],spstageca.a2.abb.com,213.26.24.38,,stgportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],spstagepl.a2.abb.com,213.26.24.38,,stgportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sptesthr.a2.abb.com,,,deportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sqool.de.abb.com,,,deportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sqoolsvc.de.abb.com,138.224.12.58,,deportal1.abb.com,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sra.vpn-sh.abb.com.cn,101.230.175.82,,vpn-sh.abb.com.cn,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],sra.vpn.abb.com.cn,123.59.169.16,,vpn.abb.com.cn,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],srp000790srs.de.abb.com,138.224.8.102,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],srp000793srs.de.abb.com,138.224.8.105,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ssh.fi.abb.com,194.241.163.40,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],ssl.abb.com,138.226.69.10,,,"adns1.abb.com, dnsmaster.abb.com",NOERROR,,,,,"adns1.abb.com, adns2.abb.com",,,,
[x],ssl.vpn.abb.com.cn,123.59.169.16,,vpn.abb.com.cn,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],st1.myportal.abb.com,"95.101.133.64, 80.239.254.25",,"st1.myportal.waf.abb, st1.myportal.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],st1.myportal.cn.abb.com,"2.17.100.129, 2.17.100.243",,"online.cn.abb.com, online.cn.waf.abb, online.cn.abb.com.edgekey.net, online.cn.abb.com.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stabilize.dev.industrial-automation-service.abb.com,23.96.19.135,,,"ns1-04.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,mx.sendgrid.net,,,,,
[x],stage.ability.abb.com,"13.107.238.45, 13.107.237.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","ability-website-staging.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",NOERROR,,,,,,,,,
[x],stage.access.motion.abb.com.cn,"96.16.54.169, 96.16.54.112",,"stage.access.motion.cn.waf.abb, stage.access.motion.abb.com.cn.edgekey.net, stage.access.motion.abb.com.cn.edgekey.net.globalredir.akadns.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.accessmanagement.motion.abb.com,,,"stage.accessmanagement.motion.waf.abb, stage.accessmanagement.motion.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.account.buildingplus.abb.com.cn,52.131.249.164,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],stage.ace.abb.com,"80.239.254.41, 95.101.133.27",,"stage.ace.waf.abb, stage.ace.abb.com.edgekey.net, e116720.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.api-ci01.abilityplatform02.abb.com.cn,121.36.40.58,,e2d09a393cdd4af18df78167ec03b7dd.apic.cn-north-4.huaweicloudapis.com,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",NOERROR,,,,,,,,,
[x],stage.api-iot-ci01.abilityplatform02.abb.com.cn,124.70.0.81,,,"nse1.abb.com, dnsmaster.abb.com",NOERROR,,,,,,,,,
[x],stage.api.accessmanagement.motion.abb.com,"2.17.100.129, 2.17.100.184",,"stage.api.accessmanagement.motion.waf.abb, stage.api.accessmanagement.motion.abb.com.edgekey.net, e64218.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.api.buildings-maintenance.abb.com.cn,52.130.190.4,,"msp-cn-stage-apim.azure-api.cn, apimgmttmecqokg0d1qsozmvlcuy4li0lgzdusb9pehowifcwj.trafficmanager.cn, msp-cn-stage-apim-chinaeast2-01.regional.azure-api.cn, apimgmthss1ogror7whc0heezgjf3h6qbbsmopj6jakqyaldpr.chinacloudapp.cn","ns1-01.azure-dns.cn, waboa.microsoft.com",NOERROR,,,,,,,,,
[x],stage.api.comfortplaner.de.abb.com,"96.16.54.176, 96.16.54.129",,"stage.api.comfortplaner.de.waf.abb, stage.api.comfortplaner.de.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.api.drivetune.motion.abb.com,"23.36.162.209, 23.36.162.198",,"stage.api.drivetune.motion.waf.abb, stage.api.drivetune.motion.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.api.drivetune.motion.abb.com.cn,"95.101.111.133, 95.101.111.148",,"stage.api.drivetune.motion.cn.waf.abb, stage.api.drivetune.motion.abb.com.cn.edgekey.net, stage.api.drivetune.motion.abb.com.cn.edgekey.net.globalredir.akadns88.net, e40224.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],stage.api.emergency-lighting-configurator.abb.com,"80.239.254.25, 95.101.133.64",,"stage.api.emergency-lighting-configurator.waf.abb, stage.api.emergency-lighting-configurator.abb.com.edgekey.net, e95246.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
