input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,webserver,final_url,csp_domains_,tls_wildcard_certificate,tls_mismatched,tls_self_signed
mbbsyr5.med.monash.edu,,200,1301,mbbsyr5.med.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2021-02-08T03:20:43Z,2022-02-08T03:30:00Z,"CN=mbbsyr5.med.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",mbbsyr5.med.monash.edu,Monash University,med-mbbsyr5.med.monash.edu,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,d7cbc20fc108b7b9a665027923341241,388e32744e83c60ee3bf2d66ac8fa14af69dcc816488d3c65504d97d3c4d4f6e,ctls,mbbsyr5.med.monash.edu,cloudfront,443,https://mbbsyr5.med.monash.edu:443,https,text/html,GET,52.222.214.19,/,530211044,2600:9000:223d:ee00:1d:2ae1:ce00:93a1,Amazon Web Services,47,False,True,True,,,,,,
mbot-qat.apps.monash.edu,Error,404,139,mbot-qat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,2023-08-08T23:59:59Z,"CN=mbot-qat.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",mbot-qat.apps.monash.edu,Monash University,www.mbot-qat.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4f4f7b568ea6784473d0a2e04217717d,02e8cf53a09ec21350ab24da0bf492c5b1f519a2b10a6fb92c71edeffb7c6f57,ctls,mbot-qat.apps.monash.edu,incapsula,443,https://mbot-qat.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,1593207841,45.60.34.202,Imperva,11,False,True,,,,,,,
mcgproxy.ocio.monash.edu,404 Not Found,404,196,mcgproxy.ocio.monash.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-11-08T04:25:38Z,2022-11-08T04:35:00Z,"CN=mcgproxy.ocio.monash.edu, O=Monash University, L=Mulgrave, ST=Victoria, C=AU",mcgproxy.ocio.monash.edu,Monash University,mcgproxy.ocio.monash.edu.au,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,77dfb553e32848e4320aef27262f0a32,00fa4c95b72db99cfa21fc0360b4d613e49c12d67298977b06f9dd4fbd956b85,ctls,mcgproxy.ocio.monash.edu,,443,https://mcgproxy.ocio.monash.edu:443,https,text/html,GET,130.194.20.94,/,796075171,130.194.20.94,Red Hat,8,False,,True,Apache/2.4.37 (Red Hat Enterprise Linux) OpenSSL/1.1.1k,,,,,
mcpl-web10-v01.ocio.monash.edu,403 - Forbidden: Access is denied.,403,1233,mcpl-web10-v01.ocio.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-31T00:00:00Z,2023-08-31T23:59:59Z,"CN=mcapp.es.mcpl.edu.au, O=Monash University, ST=Victoria, C=AU",mcapp.es.mcpl.edu.au,Monash University,mcapp.es.mcpl.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0431288f27fd9a176cc04290a0c43164,97c24e8d32d2f86b07f2dec7ab0cea67a34f2340b9a2530917a63a925c3b43de,ctls,mcpl-web10-v01.ocio.monash.edu,,443,https://mcpl-web10-v01.ocio.monash.edu:443,https,text/html,GET,130.194.20.55,/,1631801191,2001:388:608c:8c1:250:56ff:fe93:955d,Windows Server,30,False,,,Microsoft-IIS/10.0,,,,True,
mdsunway.monash.edu,Home - MyDispense,200,1787,mdsunway.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-01T00:00:00Z,2024-05-31T23:59:59Z,"CN=mdsunway.monash.edu, O=Monash University, ST=Victoria, C=AU",mdsunway.monash.edu,Monash University,www.mdsunway.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d63d72cb3e15cbbcbfb81f5f87465e2a,a93f1e67d4530bb4b84cde2f1e3f7617302a22fdd818125fe1ac8a3021f6dd54,ctls,mdsunway.monash.edu,,443,https://mdsunway.monash.edu:443,https,text/html,GET,54.169.134.102,/,140797983,54.169.134.102,Nginx,13,False,,,nginx,,,,,
mdsunway.pharm.monash.edu,Home - MyDispense,200,1787,mdsunway.pharm.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-01T00:00:00Z,2024-05-31T23:59:59Z,"CN=mdsunway.monash.edu, O=Monash University, ST=Victoria, C=AU",mdsunway.monash.edu,Monash University,www.mdsunway.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d63d72cb3e15cbbcbfb81f5f87465e2a,a93f1e67d4530bb4b84cde2f1e3f7617302a22fdd818125fe1ac8a3021f6dd54,ctls,mdsunway.pharm.monash.edu,,443,https://mdsunway.pharm.monash.edu:443,https,text/html,GET,54.169.134.102,/,140797983,54.169.134.102,Nginx,13,False,,,nginx,,,,True,
mead.apps.monash.edu,,200,1301,mead.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-03-24T01:49:07Z,2022-03-24T01:59:00Z,"CN=mead.apps.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",mead.apps.monash.edu,Monash University,www.corp-web02-v20.ocio.monash.edu.au,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,f3ab20d6e6c714225f300f416f60d124,a7f6384a72fd88dddbaeb1aeab165c16effd8ffca405c3aba3912c8b7e8b96d0,ctls,mead.apps.monash.edu,cloudfront,443,https://mead.apps.monash.edu:443,https,text/html,GET,18.66.97.59,/,1009634249,18.66.97.129,Amazon Web Services,47,False,True,True,,,,,,
med-web16-v02.ocio.monash.edu,Monash Biomedical Imaging,200,5473,med-web16-v02.ocio.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-10T00:00:00Z,2024-01-10T23:59:59Z,"CN=med-web16-v02.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",med-web16-v02.ocio.monash.edu,Monash University,med-web16-v02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e53e1a1bcc15d7f774b20d9dd3054f2,ce964fbcda7f60611d7680445ec9a78e5bf5eb72b745b1014acfc8d59bc593dd,ctls,med-web16-v02.ocio.monash.edu,,443,https://med-web16-v02.ocio.monash.edu:443,https,text/html,GET,130.194.20.114,/,234463965,130.194.20.114,Nginx:1.12.2,157,False,,,nginx/1.12.2,https://med-web16-v02.ocio.monash.edu/login/?next=%2F%3F,,,,
med-web20-v01.ocio.monash.edu,Test Page for the Apache HTTP Server on Red Hat Enterprise Linux,403,3985,med-web20-v01.ocio.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2019-11-08T04:28:13Z,2020-11-07T04:28:13Z,"emailAddress=root@med-web20-v01.ocio.monash.edu, CN=med-web20-v01.ocio.monash.edu, OU=SomeOrganizationalUnit, O=SomeOrganization, L=SomeCity, ST=SomeState, C=--, emailAddress=root@med-web20-v01.ocio.monash.edu",med-web20-v01.ocio.monash.edu,SomeOrganization,,"emailAddress=root@med-web20-v01.ocio.monash.edu, CN=med-web20-v01.ocio.monash.edu, OU=SomeOrganizationalUnit, O=SomeOrganization, L=SomeCity, ST=SomeState, C=--, emailAddress=root@med-web20-v01.ocio.monash.edu",med-web20-v01.ocio.monash.edu,SomeOrganization,e3fbd34ad145fdee11f7efc0ea93b972,ee188ad71f957c456f5bd3f4e425dee024d029f381614603c8ca26b7c037c7d6,ctls,med-web20-v01.ocio.monash.edu,,443,https://med-web20-v01.ocio.monash.edu:443,https,text/html,GET,130.194.20.63,/,-780928015,2001:388:608c:8c1::3f,Red Hat,124,False,,True,Apache/2.4.34 (Red Hat) OpenSSL/1.0.2k-fips PHP/7.3.33,,,,,True
med.monash.edu,,200,18,med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=webfarm2.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",webfarm2.ocio.monash.edu,Monash University,webq02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e92f731fecea49524c855dc38c23905,1766312bfc642e40935ec4f1cc7f20e0572935fa45af113f8482511004342136,ctls,med.monash.edu,,443,https://med.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,2,False,,,Apache,,,,True,
mei.monash.edu,,200,18,mei.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=webfarm2.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",webfarm2.ocio.monash.edu,Monash University,webq02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e92f731fecea49524c855dc38c23905,1766312bfc642e40935ec4f1cc7f20e0572935fa45af113f8482511004342136,ctls,mei.monash.edu,,443,https://mei.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,2,False,,,Apache,,,,True,
mem-sus.mnhs.monash.edu,,200,1301,mem-sus.mnhs.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2019-10-16T05:07:24Z,2021-10-16T05:17:00Z,"CN=mem-sus.mnhs.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",mem-sus.mnhs.monash.edu,Monash University,www.mnhs-web203-v20.ocio.monash.edu,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,ec5c715b4751cae3e6497a068e664eb4,fdb2f177a4a0b8a0f7a35d6814825e3c2a353496d59dc21f3f6b9414092e43dc,ctls,mem-sus.mnhs.monash.edu,cloudfront,443,https://mem-sus.mnhs.monash.edu:443,https,text/html,GET,18.66.147.80,/,-403708948,2600:9000:225e:7a00:11:c31b:f000:93a1,Amazon Web Services,47,False,True,True,,,,,,
mentoring.monash.edu,Mentoring at Monash  | Program Overview,200,68363,mentoring.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,"CN=mentoring.monash.edu, O=Monash University, ST=Victoria, C=AU",mentoring.monash.edu,Monash University,www.mentoring.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d58ab7e3c5d6829e5e66d1f77c80406d,305cb1ca1704389fc86309eae781ac9d4b037b02b5c1ab1614cd247216a799c1,ctls,mentoring.monash.edu,,443,https://mentoring.monash.edu:443,https,text/html,GET,54.252.6.30,/,-1840324437,52.64.20.148,Ruby on Rails,495,False,,,,,*.teams.microsoft.com,,,
mentors.monash.edu,Test Page for the Apache HTTP Server on Red Hat Enterprise Linux,403,3985,mentors.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-25T00:00:00Z,2024-07-24T23:59:59Z,"CN=mentors.monash.edu, O=Monash University, ST=Victoria, C=AU",mentors.monash.edu,Monash University,www.mentors.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,040307e9da4eecf046d8a8c28a41e0e3,c82bb3ef3893f51b09909c7f8430051649bdf836d3e72ed32f875979e5af3bb2,ctls,mentors.monash.edu,,443,https://mentors.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,124,False,,,Apache,,,,,
merchandise.monash.edu,,200,18,merchandise.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-07-11T23:59:59Z,"CN=webfarm2.ocio.monash.edu, O=Monash University, ST=Victoria, C=AU",webfarm2.ocio.monash.edu,Monash University,webq02.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1e92f731fecea49524c855dc38c23905,1766312bfc642e40935ec4f1cc7f20e0572935fa45af113f8482511004342136,ctls,merchandise.monash.edu,,443,https://merchandise.monash.edu:443,https,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,HSTS,2,False,,,Apache,,,,True,
mert-demo.evigilation.monash.edu,"eMERS, Monash University",200,810,mert-demo.evigilation.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T00:00:00Z,2024-04-16T23:59:59Z,CN=mert-demo.evigilation.monash.edu,mert-demo.evigilation.monash.edu,,mert-demo.evigilation.monash.edu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8250c5c91fe7f58c70be89fa8dc69232,11cef5a175880eb497d416c16d9c5385fc224b55eec5b0fbd3afb0055156929d,ctls,mert-demo.evigilation.monash.edu,cloudfront,443,https://mert-demo.evigilation.monash.edu:443,https,text/html,GET,52.222.236.66,/,1611665603,52.222.236.116,Amazon Web Services,1,False,True,,AmazonS3,,,,,
mert.evigilation.monash.edu,"eMERS, Monash University",200,810,mert.evigilation.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=evigilation.monash.edu,evigilation.monash.edu,,*.evigilation.monash.edu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82f195d5e2daa07f6ef39c87d810bc92,311535cff88f221644dd3ad367eda63ad287cdd8fe7273f472b0f59e431a579e,ctls,mert.evigilation.monash.edu,,443,https://mert.evigilation.monash.edu:443,https,text/html,GET,52.63.144.53,/,1611665603,54.252.115.170,Nginx:1.23.3,1,False,,,nginx/1.23.3,,,True,,
metabolic.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,7773,metabolic.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,metabolic.med.monash.edu,,443,https://metabolic.med.monash.edu:443,https,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,Red Hat,149,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,,,,,
metchall-rdp.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,7547,metchall-rdp.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,metchall-rdp.med.monash.edu,,443,https://metchall-rdp.med.monash.edu:443,https,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,Red Hat,134,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,,,,,
metchall.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,7547,metchall.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,metchall.med.monash.edu,,443,https://metchall.med.monash.edu:443,https,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,Red Hat,134,False,,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,,,,,
mets-mahara-dev.med.monash.edu,Home - FMNHS Mahara,200,16256,mahara.med.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,2023-11-03T23:59:59Z,"CN=mahara.med.monash.edu, O=Monash University, ST=Victoria, C=AU",mahara.med.monash.edu,Monash University,mets-mahara-dev.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,516cbae6247636ff3384bdfb9a11fc0d,003c7d691ae5cd3e65fbc4a4a74ce55721bd583d4c8e3d6ec9ef41e8ed659941,ctls,mahara.med.monash.edu,cloudfront,443,https://mets-mahara-dev.med.monash.edu:443,https,text/html,GET,108.138.7.14,/,119532476,108.138.7.103,Red Hat,344,False,True,,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/7.0.33,https://mahara.med.monash.edu/,,,,
mets-reserved-19.med.monash.edu,BCH3052 NMR Prac,200,3476,xplor.med.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=xplor.med.monash.edu, O=Monash University, ST=Victoria, C=AU",xplor.med.monash.edu,Monash University,xplor.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,4c0006968bd9c53c50d022afab5f4f64,89b45a66877a72359ddad3609def729eadafd885e803aaa7624fc0feab160bec,ctls,xplor.med.monash.edu,cloudfront,443,https://mets-reserved-19.med.monash.edu:443,https,text/html,GET,52.222.236.22,/,109260168,2600:9000:223e:6c00:3:affc:800:93a1,PHP,1,False,True,,Apache,https://xplor.med.monash.edu/bch3052/,,,,
mets.med.monash.edu,eLearning Services,200,14242,mets.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=elearning.med.monash.edu, O=Monash University, ST=Victoria, C=AU",elearning.med.monash.edu,Monash University,mets.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d46f073878856af57bb56e8d36c8e9c5,0eb37e874f85c560f76721227218092cbdb35906b0d0256d25383b6ec8a72ab5,ctls,mets.med.monash.edu,,443,https://mets.med.monash.edu:443,https,text/html,GET,3.105.212.22,/,-1280846966,3.25.13.126,PHP,207,False,,,Apache,,,,,
mga.monash.edu,Homepage - MGA | Monash Graduate Association,200,176166,mga.monash.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-28T00:00:00Z,2024-05-27T23:59:59Z,"CN=mpa.monash.edu, O=Monash University, ST=Victoria, C=AU",mpa.monash.edu,Monash University,www.mpa.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b6e13ed51b9770961ef84268228d3df4,a0e0ec188d532a4e99fb0b083eb11cfdb932d6c7d8feeb40e923311fbf57867d,ctls,mga.monash.edu,,443,https://mga.monash.edu:443,https,text/html,GET,130.194.21.9,/,1198047028,130.194.21.9,wpBakery,1526,False,,,Apache/2.4.37 (Red Hat Enterprise Linux) OpenSSL/1.1.1k,,,,,
milestones-uat.apps.monash.edu,Monash University QA - Sign In,200,19902,monashuniqa.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1225cab1a1c01b4edf8ae6892fc04205,7bec214190f7eda45abde4cdf6dcb988e471d9b7718e1e8afec1a40e1e2f9883,ctls,monashuniqa.oktapreview.com,incapsula,443,https://milestones-uat.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,-982509022,45.60.34.202,Nginx,503,False,True,,nginx,https://monashuniqa.oktapreview.com/login/login.htm?fromURI=%2Fapp%2Fmonashuniqa_monashmilestonesuat_1%2Fexkf4ikl77SCKd7Ai0h7%2Fsso%2Fsaml%3FSAMLRequest%3DnZNBa%252BMwEIX%252FitFdtmO7WSziQJqyNNDumsTdw16KIo83AltyNdI2%252FfeVnaQE2obSk2A0nu%252B9p%252FEMedf2bOHsTq3hyQHaYN%252B1Ctl4URBnFNMcJTLFO0BmBdss7u9YEsasN9pqoVsSrG4K8nh1xRPB05wmE97QbJrFNM%252BmCZ0mXGRbyPOtaEjwBwxKrQriJ%252FgPER2sFFqurC%252FFSUrjHzSZVnHG0pSl%252BV8SlEfMtVS1VP8ua9oempDdVlVJy9%252BbigQLRDDWQ5daoevAbMD8lwIe1ncF2VnbI4uiTrbevFaA1HEb8r7HsNOK4y6E2kVDHAmZz4aTjarNWVCXNfETn8y%252FRptFZ5gDs2e%252F%252FNzVTalbKV6Cn9p03H6OnYSTsSJr2oytzCnsQchGQu0TaVv9vDTALRTEGgfeWfQec0IfNwPqcU98ihb2NljqrudG4vCYsOfCnuI571q23v0amu%252BEdbFNMDGM9uXSH8%252Fa1MOegPAqK8O9WW3sMceP9Lz5%252FdDb2%252B35jzF%252FBQ%253D%253D%26RelayState%3Dhttps%3A%2F%2Fmilestones-uat.apps.monash.edu%2F,*.mtls.oktapreview.com,True,,
milestones.apps.monash.edu,Monash University - Sign In,200,19421,monashuni.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,ctls,monashuni.okta.com,incapsula,443,https://milestones.apps.monash.edu:443,https,text/html,GET,45.60.34.202,/,-509949727,45.60.34.202,Nginx,493,False,True,,nginx,https://monashuni.okta.com/login/login.htm?fromURI=%2Fapp%2Fmonashuniversity_monashmilestonesprod_1%2Fexk1if37szySwpzxV2p7%2Fsso%2Fsaml%3FSAMLRequest%3DnZNdT8IwFIb%252FytL7fcBAWMNIEGIkQV1geuGNKd1Bmmzt7OkE%252F73d%252BMgSEROvmpyened9356NkBV5SSeV2colfFSAxtkXuUTaXMSk0pIqhgKpZAUgNZyuJg8L2vUCWmplFFc5ceazmLwN%252Bp1OGIRDN4uGfbcXDddulPWZ29uEvTAaRhGwPnFeQKNQMiZ2gv0QsYK5RMOksaWgG7rBwO3epEGPhiENo1fiJEfMrZCZkO%252FXNa0PTUjv0zRxk6dVSpwJImhjoVMlsSpAr0B%252FCg7Py0VMtsaUSH2%252FELk1rySgx8oSvUJJhlsPssqvo%252BiS8ag%252BaaNYt0K6roed2GT8N2nktxAHXkkf7cz5LFG54F%252FOndIFM78jO16nqYjM3TSttJJYAhcbAZlNIs%252FVbqqBGYiJ0RVYV%252F5PzAl93AjImv2w6RnYG2eqipJpgfUjwp5xc4qm3TXNrfMlbP4T1NU2Tnk92pYTe%252ByUzur9AG5VpppZs0qbY46X9Jz9XvR2vm3%252FEONv%26RelayState%3Dhttps%3A%2F%2Fmilestones.apps.monash.edu%2F,cdn.pendo.io,True,,
minicex.med.monash.edu,,200,1301,minicex.med.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,"CN=minicex.med.monash.edu, O=Monash University, ST=Victoria, C=AU",minicex.med.monash.edu,Monash University,minicex.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d1910700107bf788fc92ee7d6d56bd7f,66cf1ccf251d98fd359eb9963f2cf76cdf5f24c2210893e55d4f654e2d0d8211,ctls,minicex.med.monash.edu,cloudfront,443,https://minicex.med.monash.edu:443,https,text/html,GET,13.224.189.53,/,1112119974,2600:9000:20eb:3600:14:81a7:e900:93a1,Amazon Web Services,47,False,True,,,,,,,
