input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_self_signed,tls_expired,csp_domains_,final_url
discounts-test.bcc.nl,Sign in to your account,200,206820,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://discounts-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=f83047ef-6ec2-4502-ad3d-1b5eafcd6d0c&redirect_uri=https%3A%2F%2Fdiscounts-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272463099.MzU0NmMyMDctZjkzMi00NDY2LThlZmYtYmQzYjY4ZjY3ZTIxODBkYjRmY2UtZjE2Yy00MGMzLWJhZTMtZGZlMWQxMTFjNTYz&state=CfDJ8Ii7SJAyFhNLnuW0l0IjC0JDro46LEz6L_ZRjAP6lIPdPG-JFFe3KZFbYLE9DcIVT0dbkVlHQu2jVn478FUtdSOOWaHmdqLXt1IUBEW5Nj7wCWUQP47YOB45YqlmjF7PlnH-oopR8pBiXWqn4vFFPLNCL13SGUpJzYUHGN2-TYfMJYnNkQHltZ8eJGmsQx5uh9PuhrBVfmtrVLN8wKrd4V644gnzgQtnfcwezwKoWYsgbyluOXwn_u9Y6NfAelyZyJOhzXpL0mLyMOOBK_wXyMjmGto7ROYUV4y6Q6PrPBcdNn1TFUNjRfJEqt49zNGF2w&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
discounts.bcc.nl,Sign in to your account,200,206772,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://discounts.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=244174fa-ef36-4ebe-bf55-257e58d64b95&redirect_uri=https%3A%2F%2Fdiscounts.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271545728.ZjFhYjlkY2UtYjY2NS00ZmQ4LWI2ODgtYWI2NjRkNTE2YTc1MzBjZTU4ZjEtYjExMC00NTNlLWFmNjItNjg1MWE5MjRmMDQw&state=CfDJ8HGh5OIzquZBg6fA5NafjcIKnc77jjXiZaik0po2U3VwdMB2LPBgiRmwt09mJwT7s0GGmva84Bk7gB-gUIUbC4l6xvyHQoKPRvt-Bv-zmG8b7sE4b4Fzh_bjBdwwXe7aDv2vjfM99PsYlELdHL4yzavnxtdD3Lstphmn8jUvoE6XqHLN1gDO-JchhI99R6fwKuuml-_mGaoYFL1afGZOwCDqG6ZZLkLD93PBZvJM0jaoA7OJWth4_08k6oRAKVRXEOG8bcD2-7dQ3Nl-AvgeLkbaNUlWcTTlal97Tj2mR8nr5PNgAbGEbYkYCFe7_khdpw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.8.0.0
dmz.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://dmz.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
docs.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://docs.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.241,Vercel,4,False,,,,,,,,,
e3bbd4f703c5e154197796ddc6478a43.bcc.nl,,400,194,e3bbd4f703c5e154197796ddc6478a43.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-16T03:47:45Z,2023-08-16T03:47:45Z,CN=www.bing.com,www.bing.com,www.maps.live.com.au,"CN=Microsoft RSA TLS CA 02, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 02,Microsoft Corporation,a59bd11849791d57c1093b57bb9c95f7,e6a984d3550b10540d1429007afb4790af75969382e5403441d6da36963dc35f,ctls,e3bbd4f703c5e154197796ddc6478a43.bcc.nl,443,https://e3bbd4f703c5e154197796ddc6478a43.bcc.nl:443,https,,,GET,204.79.197.200,/,-764977207,2620:1ec:c11::200,,1,False,,True,True,,,,,,
employee-acc.bcc.nl,Sign in to your account,200,209379,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://employee-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=e76fd5b7-d7f0-46ed-bdde-ed46b527b3be&redirect_uri=https%3A%2F%2Femployee-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270914446.OTFlOTI3OTYtNDI1Ni00OTY4LThlZDYtODUyY2Y4ODk1MjllZDYzOGI3N2YtMGNhYS00Njc5LTgyODMtZjAxMTYxY2IwZTUx&state=CfDJ8PfizE5eEQxLrDHbnu0gfIORqJOnnSNp2CfW00lQ0hogqZ9Icl6d0WL66EGV2nqRfM8mwM9I-RF-tukc3rRHXIgm7f57b3Ikkn92iIgsHpB8cqDARmyb7mzHzIeSDHuxN7VkcnHwypYzTw10XnZYfYhkYx0SYfpA-kNB3R2LhgFWMi2F27CoOJS0FNDNJSG4gzuLkVDWwtFOYeRpc9IYEsgKS1mD0QAyJjM0yaeHUvVQ3op-ratkLuIxpULOEfnmcewc_Ko0mnyd-emahG0aiwTbemQdEkz28AxcwYtne_tD1iSLThMuIdGIFrY6vOYCzQ&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
enterpriseenrollment.bcc.nl,Microsoft Intune admin center,200,39971,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,443,https://enterpriseenrollment.bcc.nl:443,https,,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,HSTS,4,False,Microsoft Corporation,,,azure,True,,,,https://intune.microsoft.com/
errorreports-acc.bcc.nl,Sign in to your account,200,204876,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://errorreports-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=d41bf4d8-29fa-4de5-a31b-2f4980cd04a2&redirect_uri=https%3A%2F%2Ferrorreports-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270938941.NmEwZGIwZTEtZDU3Yi00NzE2LTgyODItY2RiZWU4MDhiMGRkZTU5YmFhYjYtZjU3Ni00NGIyLWFiMDEtYmIzYzlhNmI3Yzk1&state=CfDJ8K3y9rcbJhJJoqkwhmFgRGW4EPSRUP-o_B4YPp9TS6PqrLM-0vlFasXimE_1eGVatDy3e_ZODSxvwfSUvtIQvWq4OsWIoO0DyPJZ-Qeb98zdnr6mQLgPG7Rc5PSJa4ks00Nekgr5hxPfqvj5gx3T61iBX_WTQnXmtDftyvDzZSzrlJ1LOztDehJzYGd4y-c4IbgK2ec3RN6ia-txZGiAq7GNKcYqq8MsUfAHxZdZoXBzRvrrt4qjXNVJ45aqfzp81PXwHol4uSs3dYbWNrVnchnYP-xAY2Gw3x5UWzmSKLAW-8zKJVGgScx2XHn9GaT00A&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.7.1.0
errorreports-test.bcc.nl,Redirecting,200,157622,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://errorreports-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,86,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=17a6c188-c180-4b34-97e1-53006a5abbe5&redirect_uri=https%3A%2F%2Ferrorreports-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271081518.NzQ3YzA1ZDctMWQyNC00MTQzLTk5ZjgtOWExN2Y2MDIwMmZiODFhOTFhYmMtZThmOC00MzZiLTkxZjUtOGFhOTliMzM3OGQ5&state=CfDJ8K2DLC4LsP9EkL67SXhFsnxKsx-Af4eus65VxelaFYPExV7RMUsxRAv2BHVi3mfGBgJ3BNGk2OK2wjq4WAh-hmohJfjOTisSQo0cBIusOY5H1wV4gkLDlbFFF56nJjxCuO6T2TIeA5ZunmSQwFb6WotfEKu4dwgweDB0xB8T7Bm5rLoM9F1DeUyFEjT4q2IMFt_nYFFHe8Gv81aACeK4RX4WS1_baQKf2HJlN1PZsQ4OZKJSWCJKdam-7CjLpewQFEIe7GTD8NvdqqlLOqCdRHPbOAgWkcKQgsffnEvzXVnWk1rlQpgYnb9T1M3F4-un3g&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.7.1.0
errorreports.bcc.nl,Sign in to your account,200,204895,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://errorreports.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=b79e0310-e8a5-468e-9cb0-3a0a8bcbb2f8&redirect_uri=https%3A%2F%2Ferrorreports.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271931248.NGY1ZTNmMmMtMGI5Ny00NWRkLWExMmYtOWI4OGVhOWZkMWFkMDY5N2I5YjktMjUwMi00ZDdhLTlkOTctYWFjZDczOWI4ZWVl&state=CfDJ8NXiZ_Y9rJNCkedpwWEI9Zi3I2W_vnHHnTlqKEIZv1c2TwlWAxvQT4lY-0BmdHdV5UjwO0q8kqqMyKTPkcQAUJOspcqtkxlp8jsB9nYMd0-KE8pBXIEy7y5juct9znbeQ5RRl9ZW0jlUIzaXGWKr0sXB9TQqVy4ckgcqTslp2w7OMcJHmjJGbsQMhF_arlO_qVds8m8ux4HU9wAdAfyshK9zRTFMI-MC9lNoCkCKmSqnPByMzxHpiUsqTbU_fUOja-AyzmI6f4hAaz0cwUY6hsqEiNDiIvsbw2-rbdPEeOnYZUnGJO35c59gyE24x_Peig&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.7.1.0
essent-acc.bcc.nl,Sign in to your account,200,206402,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://essent-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,171,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=cdfd1ea5-6d67-4ea0-9427-612d2a37484b&redirect_uri=https%3A%2F%2Fessent-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272138634.MWY4ZjU1MzUtMzE2Yi00YTczLWJlOTEtMTk1ZjYzZGEyZGU3OGFmMTcwMDItZDVjMC00YzgwLTliZGItODY5ZjJkY2I3NDQw&state=CfDJ8JrnI0VHB4tAnJ6NAY_MW9_KBUuBKmnTaUZOkHdikPJ-X-hOwp1rzzwZr8DIWrmY4GvZ6oR2dYkf8p1U4IcCY5e8oe4wDwFreYY2f8O3l_-QvYluwZZAU9GC6oGnKtlyQFpMRVVB3Lbnd64RcORUTq_f6HjlJGZBmy1h0PbvZVoqPjifqNeeN-YwWYoG36ZTUShbkfLy70WOEyLrubfsA4RwcmfAtwyyWEpBCajcCXhk1nqXAQ3uyE-Za8xX0sMNZrot19QVuLqAepXsMTFjN9bCBUoFK_DLRmpVdoFlR2IwdDUEdtutQ_GZRnz6asOUSw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
essent-test.bcc.nl,Sign in to your account,200,204787,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://essent-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=f6eefeb4-9b3d-4ba0-9c2e-41a068d52492&redirect_uri=https%3A%2F%2Fessent-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272231537.NTVkNWVkNTAtYjg0Yy00NjY0LTllODMtNWVmYTkxMDhiMTFmZjllMjM3NTYtOGFiNi00NzNlLTkyMzItNjQ3ZDNjMDZjMjc1&state=CfDJ8B46TyRcaxxFm9tsHr2JXNR1XInuFvSmOz8TSR9xJxQKdyJYjUyiKYOFfBJoYG3CURO1Si8iaXlalitNF08BVtOnz1lm3wJHPsgb1AUBjaE_WqiHPQ-GjLxFSoaluJdCQLcRZPDqrXUZq_FF6EKeiv8Qf2yvuk33JTqmO1KUzyi1_0tIGnb7ma8tPZ4WJH2dqDJUnSBE2R3yQJzooFvEfXaDgD14xvYq-CnukJNSeT8tZcM8cWI0kRjR5hWFp1rMdEpdEsYUbzvR7hME0xhtcOy-aNgsYt5mU-_Ng1uSdebZFPQPN7ARkJKiKZ6MOqtxWw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
essent.bcc.nl,Redirecting,200,157441,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://essent.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,86,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=66d649a9-69e8-49b3-ae53-feaf4bf42ab6&redirect_uri=https%3A%2F%2Fessent.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396271316659.NTUwZDU3YzEtYWQyMC00MDY2LTk3NTUtNmQ5MDZmYmU1ZTBkYmU1Y2ExZjgtMjg4Zi00ZjA0LTk0NjktMWY3OTg3MWY5NDRi&state=CfDJ8DQXZD0HSCFBqA4EuwEF4bQ0IyhZyY6lxWtwkQr9lCrB2YmMdL6-WdCI8RU-K_ihCuin0fn-t4zZtsEfAqgcGph345k2GC_lOwUK9sou5C1pZfT9NTBBTiQ2cl_DyprIzk9pYVycYmbkIQk1uYjUnlnQcjN_LhtdjL1PI8POR7EBOIMYaBlySUlbQEYJkDoGUuFeB3VBnziQ2Y6mGD4q27KGRDzbVMXodgB_YDq47i2spT1bXByE8pSunqea8wqCqL-sCtmrC8dCz1U1EBhTpBcPB0r5KSKDdsg72ihgbxF9&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
eu-east-1.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://eu-east-1.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.123,Vercel,4,False,,,,,,,,,
faq.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://faq.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.98,Vercel,4,False,,,,,,,,,
fast.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://fast.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.241,Vercel,4,False,,,,,,,,,
features-acc.bcc.nl,Sign in to your account,200,204860,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://features-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=cbeef3ea-1c10-4db1-bc96-6894766c0945&redirect_uri=https%3A%2F%2Ffeatures-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272390583.ZDE0YzdlMWEtOWM2OC00YjQ1LTg1ODktOTIzNDQxMDc2YzZiYzBmOGVkZGUtMmRkNy00N2ZlLWEyMzYtMGQ4MGI4MTcxOTBh&state=CfDJ8A2xPP96GVtDnhGzRayBbgRFe7ZVcyksw0B0GJsI3janRtkoF42BKeEMlAqA_LMWfpTLwtOG76_vCfYjUzN4fecpkmZmjaAwFct2mUWPi4Iil1-nvmpuS6hJi6z2efZtgKOxRCUVtauFPsJaxMPgfTu0bVrrILUL72wmkNovt32jg003mresquwuXAMsga-ZX8Q4Ys4H-hCgmhUGGYJBzHG1SB0JrfvzEhQbopmXUR3Yg8q3FhT8PFkA3Nn8oO0riaotnzWW1dBK7T37N2ASgkqu_8FXB2s_M80qwsJJOuY6hSuqtMHVXYncwPHPRQa_dA&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
features-test.bcc.nl,Sign in to your account,200,208724,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://features-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=6c9c4c52-e09e-473f-bb9a-9b5b420e0da8&redirect_uri=https%3A%2F%2Ffeatures-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272182484.MmVmMWNlOWYtNjliMS00MWQ1LWI3OWUtMDA3ZWNiZmUxZDMxMjEyMTZhOGQtM2U5Ny00NWM0LWIxZWEtMDAyM2U2YzVhZDk4&state=CfDJ8BzI6aA9Bm9EvOSJPZEqMcZjrh6nQMc3lRyiXcIx0lprz6dNe5R2GZ6LY8GsxoTCSU2rCJW_spD_JvgGjOFNRLA6mq8Gmez4rqC_Hw2-KLYKkzJs6ji-3yRFtQbUzvoZXfNZUEdrs1j6cHwmCaxE4ruB9j3Af_dimEV6Xk2OD61hOevIaV2WWRHKAx_-rigKK0OVoQe3x2VkOzeuoasutb713kCrgvoLZW9cCgHC6Ap4qaicOQdkyPcKfmNAJcn3zNwsa0zRaeQnoRSc8eKMm4SvOhh9wDmIGO_5MNOkAvDba8ZuRN4A0CNJX5ePObe29g&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
features.bcc.nl,Sign in to your account,200,206751,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://features.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=6a6075df-bcd3-496c-bbda-a786f9dc1530&redirect_uri=https%3A%2F%2Ffeatures.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396272831734.ODg2ZGIzYTktMDk3My00MzI4LTliYjItYjEzMDYzMDQyMTdjNzdlOWZkNWEtMzJmMy00ZTRhLWJhNDgtMTRjZjZkZTc5ZTUw&state=CfDJ8DA_8K9CDLZNlV8nbDZG4WkUjOKcW-x8TZ0NuFtXXodHk2a8ylNrLj5nmYoI7C0kp1eFq_goXdmdb1hAWmGq-MJZKnHfgKhpH0URaTHeemQEfry0MVe_VAcmxEDU5oVysMgXG9ozSVQc_REUDdjJRu1TFsW6dbPotGivhjS2Fauc8Oq1oMKrBuUWw2E3Lu_l1pESvRffjD9Or2mQdXy7uknuOVJ_BrpmPiv-N1j4TbgVrc0AZCKSmS0hryxtKwIdxErA1QCcKv_6zDKu0MNj9tuD_ZSIdx8TxLKS5-LBh3ldPCukp5WtftlQc1Q002PxHQ&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
